,tweet
235,"Freshers &amp; Exp Flipkart Customer Support BPO near Electronic City Ban in Bangalore, Karnataka, India:  https://t.co/s1GdzUEf9k"
236,RT @arunsvc: Dear @PhonePeSupport @flipkartsupport I am applying a coupon on ordering grocery through Flipkart but it shows that coupon is…
237,@AmazonHelp @amazonIN Pathetic Service by your Team and Courier Partner. Order 405-8564989-0128359 not delivered in… https://t.co/VkbAVyhloL
238,@mohitoz @amazonIN @Flipkart @swiggy_in @Zomato Tip generously.
239,"Pixel 3a XL, Mi A3, Samsung Galaxy A70s available on discounts during Flipkart Qualcomm Snapdragon Days sale - Time… https://t.co/cMFAO8ayYe"
240,@Flipkart 2 days have gone since my complain regarding delivery of 2 soaps in place of Sony cyber shot worth 37000.… https://t.co/aJ1pzY648u
241,#TheRealSanta realme 3 pro carbon grey 4gb ram 64gb memory not available on official website  only notify option is… https://t.co/9XNI2BRJx5
242,"@anshul9 To ensure that your Flipkart account information is safe, please start a private message with us by clicki… https://t.co/nKzvaRwqSb"
243,"@Flipkart seriously it is very fraud company....bcoz , that send me order as a empty box and then they say me to se… https://t.co/62NVpjQNHL"
244,In this bitter #DelhiWinter spare a thought for the delivery guys from @amazonIN @Flipkart @swiggy_in @Zomato and t… https://t.co/21ljtTcG7a
245,@AelixnOfficial You may report to the cybercrime for any further assistance on this. Kindly refer to the following… https://t.co/lzTLdsrSFo
246,61%OFF     Trifles TR 147 Silicone Gel Heel Pad Socks for Pain Relief Offer on Flipkart https://t.co/gxQNZz1yIc Fli… https://t.co/82PcIKtF42
247,This doesn’t sound good either for @Flipkart or @AxisBank . Why such a costly deal in the behest of marketing gimmick ??
248,"@Flipkart @flipkartsupport haha so flipkart cancelled my order because they thought it will get delayed. FYI, expec… https://t.co/iGte6zNVLI"
249,"56%OFF      Kent 16026 Electric Kettle  (1.8 L, Silver, Black) Offer on Flipkart https://t.co/sZmV5avqC0 Flipkart https://t.co/7p4r06jtEd"
250,@Flipkart I had bought #Iphone7Plus under #NoEMI from you through @AxisBank Credit Card but bank is charging intere… https://t.co/q0n95LiOUT
251,@realmemobiles @Flipkart Why only white color available i need black
252,"@realmecareIN @Flipkart OD117367876450239000 i bought realme x2 on 20th which was delivered on 26th, i was told by… https://t.co/DkTxzN6hFR"
253,@amitbhawani @Flipkart @JBLSoundIn @JBLaudio @TheJBLpro @phoneradarblog Best Feature is 5 hours battery backup + 12 case battery backup
254,"RT @amitbhawani: New Video - https://t.co/CgEjA6KvoR

We have the all new JBL C100 True Wireless Earpods Unboxing &amp; a Giveaway where 5 of y…"
255,"@arupkantidhar To make sure that your Flipkart account information is safe, please DM us by clicking the below link… https://t.co/6XYwsv3IjM"
256,@AelixnOfficial Thank you for bringing this to our notice. We assure you that any offer other than the ones mention… https://t.co/CMV8TyJHSu
257,@arupkantidhar Sorry to hear that. We will definitely help you out with this. Request you to share the Flipkart reg… https://t.co/0J9mvWrKYa
258,"2. Your website clearly states that in case of rejection, i can pay the diff amount and take the product.
3. Your t… https://t.co/XTeA16V6cd"
259,"@Flipkart Your 9 year old PLUS member
While i am still trying to come in terms with your poor service lately, wasn'… https://t.co/BxMXb0xvzI"
260,@Flipkart is this what u call customer support?My account has been blocked and on calling ur CC this is the respons… https://t.co/GaVlvJ4GWc
261,". @reliancegroup likely to enter E-Commerce space by Diwali 2020. 

Competition to Amazon and Flipkart. https://t.co/5mNHvP1iry"
262,"Freshers &amp; Exp Day Shift BPO openigns in Flipkart near Bannerghatta Ro in Bangalore, Karnataka, India:  https://t.co/bF6uW0p0kK"
263,@Flipkart   A fale website trying to fool the customer in the name of your website. plz do some2 before its too lat… https://t.co/Y1kVRHwOTp
264,"@_akgupta Sorry to hear that. We understand that you are facing an issue with the Flipkart account. Be assured, we… https://t.co/QLFDaOYGWQ"
265,"@imabhi_de_17 To ensure that your Flipkart account information is safe, please start a private chat with us by clic… https://t.co/nMIvWi2DA9"
266,@Flipkart  i ordered a another item and you delivered another item.........what you are doing yourself a order chan… https://t.co/eBNKlR8tjK
267,"Even experts agree that with its 5 dimensional design, multiple layers of shadow and Gorilla 5 Generation glass, th… https://t.co/npcfR0uHKY"
268,@flipkartindia @Flipkart @SyberCrimes @sybercell
269,Abhi abhi flipkart costumer care se mere paas call aayee amount refund karne ke liye or product receive karne ke li… https://t.co/7VJNmtx37X
270,"RT @realmemobiles: Seamless connectivity and an unmatchable sound quality at its price, the #TrueWireless #realmeBudsAir are loved by our u…"
271,"@realmemobiles @Flipkart Black 😘
#RealmeBudsAir 
Wireless + Seamless"
272,"@peeyush_karnwal To ensure that your Flipkart account information is safe, please start a private message with us b… https://t.co/s9sU8vOodm"
273,"@Flipkart  @flipkartsupport When we are trying to change my email id, I am not receiving the OTP on the register em… https://t.co/4tcIsSXVFN"
274,"RT @realmemobiles: Powered with the Snapdragon 730G processor, the #64MPPerformanceXpert #realmeX2 is the latest generation elite gaming sm…"
275,@Flipkart am I fool to you or being cooperative is my mistake. I am your plus member and all you can do is just mak… https://t.co/AGOZPENBLN
276,RT @realmemobiles: Unbearably long hours of commute need a source of entertainment to keep us occupied. Make it possible with #realmeX2Pro…
277,"RT @TEAMCAIT: Amazon, Flipkart के खिलाफ देशभर के कारोबारी भूख हड़ताल पर  via @Patrika https://www.patrika.comindustry/cait-hunger-strike-ag…"
278,"@PhonePeSupport I just received a call from @Flipkart social media team, they are saying that I have to contact you… https://t.co/NucSjuWo3t"
279,"RT @careerpointltd: Here's presenting A Unit Wise Collection Of Practice Test Papers for NEET Aspirants. 
Grab your copies now..... 
Biolog…"
280,@Flipkart Are mera return cancel kyu kr diya
281,@RedmiIndia @amazonIN @Flipkart Redmi Note 9 and 9 pro ???
282,"@BeingSalmanatic To make sure that your Flipkart account information is safe, please DM us by clicking the below li… https://t.co/znSZapmx7j"
283,RT @BulusuShyam: AMAZON INDIA &amp; FLIPKART - Discount sale promotions of my HEARTFELT &amp; LIVINGPAGES started. ZINDAGI RANG BIRANGI from tomorr…
284,"@JaluiSanju Also to ensure that your Flipkart account information is safe, please DM us by clicking on the link bel… https://t.co/9JuR7bCXMn"
285,@kunal1214_ Flipkart Se
286,"Get ready to say hello to the realme Buds Air which features instant auto-connection, intelligent touch controls an… https://t.co/hPYBeBjbnj"
287,"I rcvd multiple items inside 1 box, inst label also mentions other brand/prdct info &amp; also has spllng mstks which c… https://t.co/NOHt4EgkKf"
288,"#flipkartcheats#flipkartfraud
I did the payment online trusting Flipkart &amp; in return u hav mentally harassed me, I'… https://t.co/soArgqcV5H"
289,"Ur Emp Nishi Dhiman isn't ready to accept ur fault
#flipkartcheats#flipkartfraud
U ppl doubt the comparison with or… https://t.co/APvftBNJJa"
290,"7 fake, duplicate, counterfeit, copy prdcts rcvd 4m Flipkart
I ordered 3 Glenmark Hair 4u5% &amp; 4 Palsons Derma Q-Ser… https://t.co/1UmSM2dAgF"
291,"@flipkartsupport Hey, as soon as i tweeted to your handle i got a call from fake flipkart representative trying to… https://t.co/MNKQD8Zxwd"
292,@flipkartsupport Thanks the issue was resolved to my satisfaction. Very encouraging to see you are concerned about… https://t.co/yS9a3KOfkW
293,"RT @KarunaGopal1: I urge TECH leaders like Sundar Pichai (Alphabet), Satya Nadella (Microsoft), Mark Zuckerberg (Facebook), Jack Dorsey (Tw…"
294,@Flipkart @flipkartsupport  do u have time to reply to my concern.
295,@flipkartsupport I don't have the  hope of problem resolution from you @Flipkart
296,"@Flipkart @flipkartsupport 
Incident: IN1909302324316919015 , 
That video was unable to sending because cctv footag… https://t.co/7sOPsWZvyI"
297,"@JE_ASHISHSHARMA To make sure that your Flipkart account information is safe, please DM us by clicking the below li… https://t.co/rjCGBYiiY1"
298,@Flipkart still no call received from your side of my returning request.
299,"RT @RedmiIndia: #OutperformEveryday throughout the new year with #FlagshipKiller #RedmiK20Pro and #RedmiK20.

Avail best prices in the #Bes…"
300,"@sangwanpuneet07 To ensure that your Flipkart account information is safe, please start a private message with us b… https://t.co/DTaC0VsJyn"
301,"'Qualcomm Snapdragon Days' sale is live on @Flipkart : Huge discounts on latest mobiles
https://t.co/9XylAJSZau… https://t.co/GtH2bEgCt1"
302,@reliancejio entry into grocery ecom...to take on @bigbasket_com @Flipkart @amazonIN https://t.co/LXICcvzwPc
303,@Ricky81136432 @MyntraSupport @ANarayanan24 @myntra @Myntra_CC @MyntraShoppiing There just trying to snatch money f… https://t.co/hWp6qQmECO
304,@Flipkart @PMOIndia @narendramodi @cmohry @ConsumerAffairs @Walmart They blocked my flipkart account also by citing… https://t.co/bY3yLYL9zU
305,RT @FlipkartStories: Read riveting stories about how @Flipkart has touched the lives of millions of Indian online shoppers in remote locati…
306,@flipkartsupport : Need Help. My account has been locked since Oct 19. I have Flipkart voucher ~ 14K stored in it.… https://t.co/KX1Pd5Ry2L
307,The refund amount not credited to my account. Spoke to the merchant. The following is the details of the refund by… https://t.co/vXfMdnH1k7
308,@realmemobiles @Flipkart Best experience. I personally love this buds
309,"RT @SaifAlam06: Techies write to govt against #CAA_NRC_NPR
Sundar Pichai -Alphabet
Satya Nadella -Microsoft
Mark Zuckerberg -Facebook
Jack…"
310,"@IDFCFIRSTBank 
since so long I am applying to add my card in Flipkart I requesting so many times via mail and thro… https://t.co/nEzSZpYbrn"
311,@HiHonorIndia @Flipkart NEVER BUY HUAWEI.
312,"@Skywalker_anuj In future, to ensure that your Flipkart account information is safe, please start a private message… https://t.co/mHDCwDhAoJ"
313,"RT @newstimebarak: It's a proud moment for Barak Valley!

Details: 20-year-old Shrestha Paul from Silchar finally achieved her long awaited…"
314,@flipkartsupport @PhonePeSupport due to this inconvenience I am not ordering groceries from flipkart https://t.co/VqLr6rJJ9B
315,RT @praveendel: Against unhealthy biz practices of Amazon &amp; Flipkart traders @TEAMCAIT will sit on a day long #hungerstrike across Country…
316,"@ixigo @Flipkart Still don't get it, What does @flipkart gain here.
TBO/Riya/Yatra would make more sense.
Eventuall… https://t.co/ntfTz0SEge"
317,RT @sardesairajdeep: 2019: How Modi Won India is now available at book stores. And on Amazon and Flipkart. Look forward to all bouquets and…
318,Dear @PhonePeSupport @flipkartsupport I am applying a coupon on ordering grocery through Flipkart but it shows that… https://t.co/D1H9aLuRHT
319,"RT @aliaa08: Crazy shopping ahead, guys! 🤩 If you love being trendy and LOVE sales, your time has come 🛍 Shop at Flipkart Fashion’s Best of…"
320,@RedmiIndia @amazonIN @Flipkart I can't cast my Redmi note 6 pro to mi TV 4x pro #MiTV #miui11
321,@Techglares Got any issues with Amazon/flipkart affiliate accounts till now?
322,"If you got the same product in @Flipkart and @amazonIN then with no thought go with amazon irrespective of offers
B… https://t.co/JujBntj8Pu"
323,"मुहब्बत उर्दू है।।।
Get your copy of my shayari book from #amazon #flipkart #snapdeal https://t.co/E96EUCXpQp https://t.co/dBLTDtvXuP"
324,@narendramodi @amazonIN @Flipkart @snapdeal @PaytmMall @myntra ...locally made product including option to filter by distance too.
325,"#Google Pixel 3a XL, #Vivo Z1 Guru, Other Telephones Get Price Discounts as Part of #Flipkart Sale - https://t.co/lNKnHB56qb #Technology"
326,"@IDFCFIRSTBank Instacred Emi card isn't getting accepted on flipkart,there's no option.Also I'm unable to buy amazo… https://t.co/mJoPpU7i3G"
327,@narendramodi Few things need done before this could become main stream. 1. Identity for locally made product. 2. P… https://t.co/4Vlver7mRv
328,@Xiaomi @XiaomiIndia @RedmiIndia Please update other models also in the list of exchange at @Flipkart… https://t.co/poHrSHWSF8
329,RT @praveendel: Amazon &amp; Flipkart have destroyed &amp; devasted #ecommerce &amp; #Retail trade of India @TEAMCAIT demands now immediate action for…
330,@narendramodi Why can’t one digital platform like amazon or Flipkart or a section in these two for Indian products… https://t.co/xMRHa8bvJZ
331,"UNIQUE THINKING is now available in the below stores 

Amazon India (Paperback version)
Flipkart India  ( Paperback… https://t.co/7xdJj63nWu"
332,"UNIQUE THINKING is now available in the below stores 

Amazon India (Paperback version)
Flipkart India  ( Paperback… https://t.co/pWuV6OUku0"
333,@flipkartsupport @aliaa08 @Flipkart @flipkartsupport I am getting the same response since yesterday but as if now n… https://t.co/1GYlx19Zkn
334,@sohalamin @Flipkart They test our patience. We have to go through hell to get a refund. They expect us to leave ou… https://t.co/sDZbpGyTas
335,"Rajneeti News (Amazon, Flipkart may face tough challenge in 2020 as Reliance firms up plans - Livemint)… https://t.co/mnDjoud43s"
336,"Is flipkart waiting for the end of day policy policy, after that came the return product https://t.co/csFsRJVyRw"
337,"@_Kalyan_K 

Dear Sir,
This is regarding my order of MI Smart TV, ordered on 18.12.2019 with a scheduled delivery d… https://t.co/4QawsDnsS2"
338,@GISSupport Yes sir i surely visit my near infinix service centre but i had 1 question my battery drains 10percent… https://t.co/gjD15ouxEv
339,@HDFCBank_Cares flipkart has send me a refund on my debit card but it has not been credited in my account. Flipkart… https://t.co/vtiCRwgbWx
340,"RT @AnushkaSharma: Print for the win😎Shop for these #NUSH looks now on https://t.co/9fRUsKRtPU, @myntra –https://t.co/1hSfEVB0fz, @Flipkart…"
341,@flipkartsupport I m listening this from last 4 days so please no more excuses ! Either deliver my product or refun… https://t.co/gMJv76ToFq
342,"When he quit his job and became an online #entrepreneur, Hiren Lathiya had a rocky start. That’s when… https://t.co/FT42FkiTsg"
343,"@flipkartsupport 
May i know why couldn't i find Realme buds air in flipkart ? As the sale is tomorrow if this happ… https://t.co/mbh3gfli3F"
344,@Flipkart @flipkartsupport i ordered a watch of price 2796 INR and you delivered me a watch worth 💯 INR. Order id#… https://t.co/UmIPyw1VR5
345,"@flipkartsupport I can't trust @Flipkart @flipkartsupport
Flipkart showing something Delivered something else

This… https://t.co/mfCPPThMdu"
346,@Flipkart @flipkartsupport plz check your DM.
347,"@SouravBaranwal To ensure that your Flipkart account information is safe, please start a private chat with us by cl… https://t.co/73Q5FiTKeP"
348,@ProDotGroup sir I had bought your wireless  keyboard&amp;mouse combo from @flipkart but in 2 month keyboard stopped wo… https://t.co/YdYr79knHp
349,@MadhavSheth1 Sir Maine realme x2 order Kiya tha uski expected delivery 28dec thi but par wo mujhe abhi Tak nahi Mi… https://t.co/vuVeFpV95f
350,"@Flipkart without solution close the complaint.
Please not buy products Flipkart. Go Amazon. https://t.co/qlRrvcDKXv"
351,"@Flipkart @flipkartsupport Repeated non genuine material delivery, electronic goods without any manufacturing tags… https://t.co/sdK7sXdFcy"
352,"RT @Ganga50783310: #2gud #flipkart customer care number
6289872068==9361436089
9361436089==6289872068
6289872068==9361436089
Flipkart  cust…"
353,@flipkartsupport Worst seller u r keeping flipkart because no item is delivered In my selected pincode. IN my pinco… https://t.co/kXSRWn4Si6
354,Pigeon 14241 Grill Sandwich Maker for Rs.665 - Flipkart - https://t.co/y5FGGG2bFX https://t.co/2M6c823l5F
355,New APK:  Flipkart 6.17 by Flipkart https://t.co/YjbsC5hrpC
356,"@TwiterChadarmod @sanjeevkumar__ @_RavinderSingh_ Bhai Amazon ya Flipkart pe review kar, give it 1*"
357,@Flipkart @flipkartsupport I was making payment of Rs.80 thru netbanking for this order. Payment debited from my ac… https://t.co/GUKcTcgZn2
358,I strongly Recommend to all not buy any product from Flipkart and 2Gud my oppo F11 pro order 18 Dec. and not receiv… https://t.co/LyfIMdfR2Z
359,"@flipkartsupport @Flipkart Order ID- OD117397317773515000
Peomised delivery date is 25th Dec 2019 but till now prod… https://t.co/DBKfytaZ1O"
360,"@Flipkart Order ID- OD117397317773515000

Peomised delivery date is 25th Dec 2019 but till now product is not deliv… https://t.co/Ad9wYx5i5B"
361,"I very Fed Up @flipkartsupport @Flipkart Co. &amp; i deleted my Account And i can't Purchase any thing from @Flipkart,… https://t.co/AdZEpXycpc"
362,"They send sms that the items can’t be delivered today, the same is happening from last 3 days, the customer care fr… https://t.co/jbuuzRmBPB"
363,@Flipkart @flipkartsupport @FlipkartSellers @delhivery @help_delhivery I ordered few items from Flipkart on the 24t… https://t.co/vBc6XFDymD
364,@Flipkart @flipkartsupport the worst customer support services I have ever experienced. These Customers support tea… https://t.co/RwvDuK4BIL
365,@agarwalvipin00 @Flipkart @flipkartsupport @_Kalyan_K @Dhananjay_Tech @AmreliaRuhez @prasadvedpathak @abhishek भाई… https://t.co/gvAKkfjqRy
366,"With so many thefts of packages
#architects #interiordesigners need to design, incorporate safe, theft-proof packag… https://t.co/H0A9Ynpmbw"
367,Arrow Mens Clothing Minimum 60% Off From Rs.359 At Flipkart https://t.co/UCeVNEotT3 https://t.co/SOSNqdOMQJ
368,@flipkartsupport @Flipkart This is the state of the box and shoes that were delivered. Not only that the size of th… https://t.co/tvRqv8T8rU
369,"@tejus_sawjiani Well, I’ve seen many companies moving from Cloud to On Prem to move out of lock-ins and high operat… https://t.co/5PjrrJmcOD"
370,"Flipkart Sale: Poco F1, Vivo Z1 Pro, Mi A3, Xiaomi, Vivo smartphones receives discounts in Qualcomm Snapdragon Days… https://t.co/0zi9KAOEJJ"
371,New member to my #Moto family on the way...  #Upgarde From #MotoG6 to #MotoG7 thank you @Flipkart  for the exchange… https://t.co/mJ7Wp1MPDG
372,@AmazonHelp Waiting. No technician assign til now @Flipkart
373,#Flipkart Dear i have an issue regarding my order not delivered after 15 day flipkart doesn't delivery my order please solve my problem as
374,Flipkart ek chutiya compeny खोल के हमलोग को लूट रहा मेरा साथ भी ऐसा किया भाई लोग इस कंपनी को रास्ता पे ला के छोड़ना… https://t.co/W5IRYamVdM
375,@agarwalvipin00 @Flipkart @flipkartsupport @_Kalyan_K @Dhananjay_Tech @AmreliaRuhez @prasadvedpathak @abhishek इन m… https://t.co/T8KkNXf78C
376,"Diwali 2020 😍

https://t.co/2PojZ7DUrl https://t.co/2PojZ7DUrl"
377,@Flipkart  Dear i have an issue regarding my order not delivered after 15 days flipkart doesn't delivery my order please solve my problem
378,Flipkart एक froud कंपनी खोल के बैठा हैं झासे में ना पड़े मुझे ईन लोगो ने तो लूटा पर आप बच के रहे
379,"Flipkart se shopping krna पड़ेगा भारी ,plz Flipkart se shopping na kre"
380,@myntra You are giving insider points and not returning the order!! Are you are out of your mind. Don't want these… https://t.co/hiyTH6h4xe
381,"RT @TEAMCAIT: ट्रेडर्स की 500 शहरों में भूख हड़ताल, कैट ने कहा- Amazon-Flipkart के खिलाफ हो कार्रवाई
https://t.co/mywWepsF5h @praveendel @B…"
382,@RedmiIndia @amazonIN @Flipkart NICs phone
383,"💥 42% OFF - Flipkart SmartBuy PP Collapsible Wardrobe at Rs.1599
👉 https://t.co/H1u4REEhjK"
384,@_Kalyan_K I didn't get further information or call  from flipkart https://t.co/fAPx90Hu3R
385,"मेरा कंप्लेन का कुछ नहीं कर रहा Flipkart mera different watch return kro nhi to सीधे बोलो नहीं करेंगे ,maine black… https://t.co/cVqNmO5xnR"
386,Slala subah se Flipkart wale Ka wait Kar Raha hu kab ahyenga 🙁😕
387,"Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans https://t.co/5tAVBjfqgr https://t.co/XbG6SFqTHM"
388,"RT @TechnicalGuruji: Tech Talks #988 - Realme Sad News, Flipkart Fraud, AirTel Jio Vodafone Idea Price, ISRO Spaceport https://t.co/sVEnirT…"
389,"It's a proud moment for Barak Valley!

Details: 20-year-old Shrestha Paul from Silchar finally achieved her long aw… https://t.co/ViT54xkitC"
390,"@agarwalvipin00 @Flipkart @flipkartsupport मुझे भी ऐसी किया जा रहा भाई साले येभि नहीं बोलते की क्या चाहते , घटिया कंपनी Flipkart"
391,@_Shakti_maan Emi p kharidta hu m lavde. Gareeb nahi hu. Sirf 6 baar flipkart waale gharpe aaye the jhagda karne
392,@flipkartsupport Dear i m available on my number 24/7 but i m very discatisfied on this ! This is the 4 th day and… https://t.co/uhSdOI7zTG
393,"@NarendraGarg001 @Khushbu14858182 @flipkartsupport Flipkart cheater,"
394,"RT @TimesNow: Report: Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans.

https://t.co/BG9zfLgka6"
395,"@Flipkart @flipkartsupport Now i cant remain silent right thats was my money 
And Flipkart cheated by selling me ze… https://t.co/40nfCKgD8x"
396,"E-Commerce सेक्टर में धमाल मचाने को तैयार है Reliance, जानें Flipkart, Amazon को कैसे मिलेगी टक्कर दैनिक जागरण (Dai… https://t.co/LuelifAVbh"
397,Flipkart- Buy Toshiba THN-U203W0160A4 16 GB Pen Drive (White) at Rs 200 https://t.co/3qiCzZNpX5
398,"Assistant Manager: Flipkart - Patna, Bihar - Job Description : Primary responsibility of the Flipkart Security Assi… https://t.co/CEMsvXNSUU"
399,"RT @rockfordashish: Presenting my first #book , a collection of 55 #poems in #hindi .
Available for pre order on : @amazon,@Flipkart ,@Shop…"
400,"@kiranboghra @flipkartsupport @Flipkart Yes, thats there standard response. They give the same reply to everyone. T… https://t.co/bTfrcMwvWa"
401,"@Flipkart @flipkartsupport 
Now after complaining in cc i got the reply used , Duffer cc i have told them that i ha… https://t.co/agoxsdmm7p"
402,"Requesting you to take appropriate action on my complaint otherwise ,have no optionwill be left and compelled to ca… https://t.co/dJaOaBGdwq"
403,Sir aapne Flipkart kyu becha
404,"Huge fraud online sites @walmartindia,@Walmart ,@Flipkart,@flipkartsupport,@_Kalyan_K,@iamRanbirKapoor I ordered a… https://t.co/TsgeCRLk9S"
405,"@Flipkart @flipkartsupport
I used one myntra coupon on myntra n found its value zero ,this can be verified in myntr… https://t.co/gARmLnyVSu"
406,"Huge fraud online sites @walmartindia,@Walmart ,@Flipkart,@flipkartsupport,@_Kalyan_K,@iamRanbirKapoor I ordered a… https://t.co/CKNUzbU7IP"
407,"Hello @Flipkart , ur customer service(CS) is amazing ?  My product still undelivered and despite it has crossed exp… https://t.co/xXanyv2GXI"
408,Sachin sir aapne Flipkart bach ke sabse bdi glti ki aapke pas ye company thi to sab wishmaster kush the lekin ab Fl… https://t.co/YvhdSaTsYg
409,"Huge fraud online sites @walmartindia,@Walmart ,@Flipkart,@flipkartsupport,@_Kalyan_K,@iamRanbirKapoor I ordered a… https://t.co/d1KAQ6vhkj"
410,I don't think this book come from Afghanistan @Flipkart ???? answer me. Your representative said it's not existed i… https://t.co/FsPG1VPvJ5
411,"Huge fraud online sites @walmartindia,@Walmart ,@Flipkart,@flipkartsupport,@_Kalyan_K,@iamRanbirKapoor I ordered a… https://t.co/C4KqVUtMkt"
412,"Flipkart Wale Batate kuch hai Delivery Kuch aur karte hai Choor hai choor.... 
@flipkartsupport @Flipkart @amazonIN… https://t.co/UyzL4pULC4"
413,"RT @Yash10591131: Huge fraud online sites @walmartindia,@Walmart ,@Flipkart,@flipkartsupport,@_Kalyan_K,@iamRanbirKapoor I ordered a produc…"
414,"Report: Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans.

https://t.co/BG9zfLgka6"
415,@_prateekbh @flipkart_tech @_megsachdev @Google @AMPhtml @googlechrome Happiness is Marrying your crush 😍
416,"Breaking: Ambani entry confirmed into E-commerce market.
Planning to give Computation for the leading Amazon , Flip… https://t.co/YdzAi1o6sH"
417,"@Rohitmahi07 @Flipkart Flipkart always a misleading online purchase site, they have policies not to follow. Please… https://t.co/dxJ3hNMUQo"
418,"Hi @realmemobiles @MadhavSheth1

I was planning to buy #realmeX2 but it is out of stock @ @Flipkart and #realme web… https://t.co/BvqLI01zHF"
419,"RT @Cashkarocom: New Year New Phone! Shop on Flipkart and get Cashback Rewards on top of all discounts: https://t.co/TeKfFT1K48
.
#Flipkart…"
420,RT @Cashkarocom: These discounts and Cashback offer have landed people in a festive frenzy. Shop before the offer runs out: https://t.co/yY…
421,"Amazon, Flipkart face a tough 2020 as Reliance firms up e-commerce plans - CNBCTV18 https://t.co/fbH4gKorZt"
422,@Flipkart i have an issue while signing up for cardless credit limit please see the screenshot . I have a perfect i… https://t.co/lCsgsIioCy
423,RT @FirozSamnani7: WELLGO AFFILIATE: FLIPKART .COM         ............................... https://t.co/GpMZUrhc6F
424,@Flipkart Wish @Flipkart knew a little about mathematics so that they could send the size of the item to the logist… https://t.co/e5u5ahfh7b
425,Hey @Flipkart please provide cardless credit to more regular users. @flipkartsupport
426,@Flipkart correspondent said this book is not available in India. I registered my grievance in July19 but that book… https://t.co/qynCKzepi4
427,@Flipkart Worst Christmas ever because of flipkart. #boycottflipkart
428,@Flipkart Don’t buy from flipkart. They will make you go through hell if you get a defective product. #boycottflipkart
429,Thank you @amazonIN 4 right delivery. Due 2 non prime member I was unable 2 do order scared 4 shipping charges. I'm… https://t.co/Lam0Lg1Xj7
430,@flipkartsupport @Flipkart I have ordered one sugar test meter of which I was charged twice once through card and t… https://t.co/ChPoYDcUIG
431,@IndiaPOCO @amazonIN @Flipkart Don't give only discounts..Give after sale services..And ota updates....
432,"RT gizbot ""Year-end sales bring along greater discounts on several products. Flipkart
https://t.co/gUD7Fdyjsv"""
433,"@FlipkartSellers @Flipkart @flipkartsupport 
Team I was fraud with flipkart delivery of DSLR camera Nikon D3500 on… https://t.co/GHyaXwaiGg"
434,@Flipkart very pathetic service i have order milton water bottle and my expected date of delivey was 26th Dec but m… https://t.co/NDmHk3dp4k
435,"Amazon, Flipkart may face tough challenge in 2020 as Reliance firms up plans - Livemint https://t.co/Nx7mYnO0hI https://t.co/k79mBMxKb5"
436,@Shahzad45275425 @Flipkart Yes they never do and cause a lot of trouble. frauds. #boycottflipkart
437,@Flipkart Don’t buy anything from flipkart. They are the worst. #boycottflipkart
438,"@karan_batra To ensure that your Flipkart account information is safe, please start a private message with us by cl… https://t.co/dilkm15MJb"
439,@Flipkart The worst company ever. You are causing me mental harassment because of your sick and idiotic customer se… https://t.co/nZkDZhg7nB
440,@HiHonorIndia @Flipkart nice
441,RT @realmemobiles: Delivering cutting edge graphic performance #realmeX2Pro impresses with Qualcomm Snapdragon 855+ Processor &amp; #realmeX2 w…
442,@flipkartsupport @Flipkart  can get a replay or else i try it from Facebook the same ?
443,@Flipkart @flipkartsupport I ordered kent ro and got bluestar ro delivered. is this some kind of joke? https://t.co/zL87X8I3vN
444,@imrish_kj We're sorry to know about your experience with the Flipkart account. We'd definitely like to help. Kindl… https://t.co/hV5GKlBC0i
445,"@upstox  Hi admin,
I created a upstox account more than a week ago with CPDE 'UPSTPX500' with email :- dipesh.nagpa… https://t.co/h2pKpeFYcQ"
446,@flipkartsupport plz unblock my flipkart account....will DM u details
447,RT @Devendr54568478: very poor Flipkart company and Chief company and fraud company Flipkart and Flipkart seller https://t.co/bvBqCoDiQb
448,Flipkart- Buy Toshiba THN-U203W0160A4 16 GB Pen Drive (White) at Rs 200 https://t.co/Zv5MAhy2Nd https://t.co/2IOHLEsYpC
449,@Flipkart You r great. I ordered Sony cyber shot worth 37000 and u guys deliveried 2 washing soaps. Is this a new w… https://t.co/pKVAxhDmIS
450,@saurabhchandra9 That flipkart cover is of the items ordered from our deals ? 😛😀
451,Flipkart- Buy Toshiba THN-U203W0160A4 16 GB Pen Drive (White) at Rs 200 https://t.co/c9E1aaScYM
452,"Sale!! Flipkart के इस सेल में आधी दामों में खरीदें HDTV, मौका छूटा तो पछताना पड़ेगा
@Flipkart @FlipkartStories… https://t.co/NSB9CoDRMh"
453,"@Flipkart Dear sir
Pichhle ek mahine se return request Dal raha hun lekin Fir Bhi Mujhe different item milane ke ba… https://t.co/PhHR4HZ3Do"
454,"Flipkart cheated on me 
10 days ka return policy ke name pr customer Ko fasa kr dhoka kr rha he 
#bycott_flipkart"
455,@flipkartsupport My third party gift voucher care told me pls call to flipkart the vouchers successful added to fli… https://t.co/TtFarCseqf
456,"@Flipkart
Order ID OD117397771708143000
I have not received the starter kit accessory and the customer care is of n… https://t.co/scR3LoWrUR"
457,{Weekly Wrap} What lies ahead for Indian ecommerce in 2020 (and other top stories of the day) - YourStory https://t.co/MtYMvxzvxY
458,"Amazon, Flipkart may face tough challenge in 2020 as Reliance firms up plans - Livemint https://t.co/Q06eXY9PKD"
